State,Vote,percBiden,percTrump,percOther,Biden,Trump,Other
Alabama,2323282.00,36.57,62.03,1.4,849624.00,1441170.00,32488.00
Alaska,359530.00,42.77,52.83,4.39,153778.00,189951.00,15801.00
Arizona,3397388.00,49.22,48.91,1.87,1672143.00,1661686.00,63559.00
Arkansas,1219069.00,34.78,62.4,2.83,423932.00,760647.00,34490.00
California,17497327.00,63.49,34.33,2.18,11109850.00,6005982.00,381495.00
Colorado,3256952.00,55.4,41.9,2.7,1804352.00,1364607.00,87993.00
Connecticut,1824275.00,59.24,39.21,1.55,1080680.00,715291.00,28304.00
Delaware,504010.00,58.78,39.8,1.42,296268.00,200603.00,7139.00
D.C,344356.00,92.15,5.4,2.45,317323.00,18586.00,8447.00
Florida,11091758.00,47.76,51.11,1.14,5297045.00,5668731.00,125982.00
Georgia,4998482.00,49.51,49.25,1.24,2474507.00,2461837.00,62138.00
Hawaii,574469.00,63.73,34.27,2,366130.00,196864.00,11475.00
Idaho,868337.00,33.05,63.81,3.13,287021.00,554119.00,27197.00
Illinois,5952134.00,57.83,40.14,2.03,3442242.00,2389089.00,120803.00
Indiana,989.00,0,0,100,0.00,0.00,989.00
Iowa,1690871.00,44.89,53.09,2.02,759061.00,897672.00,34138.00
Kansas,1372303.00,41.56,56.21,2.23,570323.00,771406.00,30574.00
Kentucky,2136768.00,36.15,62.09,1.76,772474.00,1326646.00,37648.00
Louisiana,2148062.00,39.85,58.46,1.69,856034.00,1255776.00,36252.00
Maine,819461.00,53.09,44.02,2.89,435072.00,360737.00,23652.00
Maryland,3018943.00,65.75,32.34,1.9,1985023.00,976414.00,57506.00
Massachusetts,3631402.00,65.6,32.14,2.26,2382202.00,1167202.00,81998.00
Michigan,5547053.00,50.55,47.77,1.68,2804040.00,2649852.00,93161.00
Minnesota,3277195.00,52.39,45.28,2.32,1717049.00,1484048.00,76098.00
Mississippi,1314667.00,41.04,57.57,1.4,539508.00,756789.00,18370.00
Missouri,3012436.00,41.26,56.83,1.92,1242851.00,1711848.00,57737.00
Montana,603674.00,40.55,56.92,2.53,244786.00,343602.00,15286.00
Nebraska,951712.00,39.36,58.51,2.13,374583.00,556846.00,20283.00
Nevada,1405376.00,50.06,47.67,2.28,703486.00,669890.00,32000.00
New Hampshire,806182.00,52.71,45.36,1.94,424921.00,365654.00,15607.00
New Jersey,4561479.00,57.17,41.28,1.55,2607828.00,1883061.00,70590.00
New Mexico,923965.00,54.29,43.5,2.21,501614.00,401894.00,20457.00
New York,8297979.00,60.2,38.19,1.61,4995624.00,3168848.00,133507.00
North Carolina,5524683.00,48.59,49.94,1.48,2684292.00,2758773.00,81618.00
North Dakota,361819.00,31.76,65.11,3.13,114902.00,235595.00,11322.00
Ohio,5932398.00,45.16,53.18,1.66,2679165.00,3154834.00,98399.00
Oklahoma,1560699.00,32.29,65.37,2.34,503890.00,1020280.00,36529.00
Oregon,2374602.00,56.45,40.36,3.19,1340383.00,958449.00,75770.00
Pennsylvania,6938208.00,49.88,48.7,1.41,3461100.00,3378948.00,98160.00
Rhode Island,517757.00,59.39,38.61,2,307486.00,199922.00,10349.00
South Carolina,2513329.00,43.43,55.11,1.46,1091541.00,1385103.00,36685.00
South Dakota,422609.00,35.61,61.77,2.63,150471.00,261043.00,11095.00
Tennessee,3053851.00,37.45,60.66,1.89,1143711.00,1852475.00,57665.00
Texas,11315056.00,46.48,52.06,1.46,5259126.00,5890347.00,165583.00
Utah,1505828.00,37.21,57.45,5.34,560282.00,865140.00,80406.00
Vermont,367428.00,66.09,30.67,3.24,242820.00,112704.00,11904.00
Virginia,4460524.00,54.11,44,1.89,2413568.00,1962430.00,84526.00
Washington,4087631.00,57.97,38.77,3.26,2369612.00,1584651.00,133368.00
West Virginia,794652.00,29.7,68.63,1.67,235984.00,545382.00,13286.00
Wisconsin,3298041.00,49.45,48.82,1.73,1630866.00,1610184.00,56991.00
Wyoming,276765.00,26.55,69.94,3.51,73491.00,193559.00,9715.00
